City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Bethel,US,2022-02-23 17:42:04,41.3712,-73.414,66.16,71,40,13.8
67,Floro,NO,2022-02-23 17:42:04,61.5996,5.0328,41.7,87,75,25.32
68,Cayenne,GF,2022-02-23 17:42:26,4.9333,-52.3333,86.04,83,40,13.8
69,Kalakamati,BW,2022-02-23 17:42:26,-20.5929,27.3121,75.97,37,1,12.46
70,Malanje,AO,2022-02-23 17:42:27,-9.5402,16.341,65.61,95,100,3.58
71,Albany,US,2022-02-23 17:40:45,42.6001,-73.9662,50.76,73,98,3.0
72,Kudahuvadhoo,MV,2022-02-23 17:42:28,2.6708,72.8944,82.67,72,18,10.04
73,Ugoofaaru,MV,2022-02-23 17:42:28,5.6667,73.0,82.58,73,34,10.89
74,Bluff,NZ,2022-02-23 17:42:29,-46.6,168.3333,46.8,88,34,6.24
75,Saint George,US,2022-02-23 17:38:39,37.1041,-113.5841,40.62,61,75,10.36
76,Dikson,RU,2022-02-23 17:42:29,73.5069,80.5464,-7.64,100,77,9.66
77,Cocobeach,GA,2022-02-23 17:42:30,1.0002,9.5823,84.13,77,96,5.23
78,Xixiang,CN,2022-02-23 17:42:30,35.1628,112.865,36.16,52,7,2.42
79,Georgetown,MY,2022-02-23 17:37:43,5.4112,100.3354,80.53,87,20,3.44
80,East London,ZA,2022-02-23 17:42:31,-33.0153,27.9116,76.14,94,75,10.36
81,Hithadhoo,MV,2022-02-23 17:42:31,-0.6,73.0833,82.42,66,23,7.85
82,Simao,CN,2022-02-23 17:42:32,22.7886,100.9748,44.02,99,22,2.89
83,Bang Mun Nak,TH,2022-02-23 17:42:32,16.0278,100.3792,77.99,59,75,9.35
84,Sao Joao Da Barra,BR,2022-02-23 17:42:33,-21.6403,-41.0511,87.89,84,16,13.94
85,Butaritari,KI,2022-02-23 17:42:33,3.0707,172.7902,81.03,80,100,20.02
86,Punta Arenas,CL,2022-02-23 17:42:34,-53.15,-70.9167,59.02,76,0,8.05
87,Kholodnyy,RU,2022-02-23 17:42:34,62.7167,147.95,-38.51,93,22,2.13
88,Macaubas,BR,2022-02-23 17:42:34,-13.0194,-42.6986,83.91,49,96,3.29
89,Tangping,CN,2022-02-23 17:42:35,22.0265,111.9323,49.87,80,7,6.96
90,Alofi,NU,2022-02-23 17:42:35,-19.0595,-169.9187,75.09,94,100,5.75
91,Port Elizabeth,ZA,2022-02-23 17:42:36,-33.918,25.5701,75.49,88,20,10.36
92,Yellowknife,CA,2022-02-23 17:38:12,62.456,-114.3525,-1.59,93,100,10.87
93,Vaitape,PF,2022-02-23 17:41:00,-16.5167,-151.75,80.56,75,96,13.76
94,Ketchikan,US,2022-02-23 17:42:37,55.3422,-131.6461,31.98,86,100,3.44
95,Nouadhibou,MR,2022-02-23 17:42:37,20.931,-17.0347,69.78,73,12,16.11
96,Carnarvon,AU,2022-02-23 17:42:37,-24.8667,113.6333,78.87,78,1,13.8
97,Kapaa,US,2022-02-23 17:42:38,22.0752,-159.319,73.72,75,75,13.8
98,Zonguldak,TR,2022-02-23 17:42:38,41.25,31.8333,46.36,94,100,1.52
99,Saint-Philippe,RE,2022-02-23 17:42:39,-21.3585,55.7679,80.19,83,41,10.36
100,Kaitangata,NZ,2022-02-23 17:42:39,-46.2817,169.8464,46.63,95,62,4.32
101,Polovinnoye,RU,2022-02-23 17:42:40,54.7914,65.9864,27.01,84,97,16.87
102,Nagaur,IN,2022-02-23 17:42:40,27.2,73.7333,70.29,28,1,8.55
103,Atambua,ID,2022-02-23 17:42:41,-9.1061,124.8925,71.46,96,100,2.46
104,Hirara,JP,2022-02-23 17:42:41,24.8,125.2833,63.37,82,100,37.92
105,Souillac,MU,2022-02-23 17:42:42,-20.5167,57.5167,80.37,94,40,6.91
106,Torbay,CA,2022-02-23 17:42:42,47.6666,-52.7314,42.28,94,100,32.21
107,Yidu,CN,2022-02-23 17:42:42,24.1614,115.1328,39.2,86,80,3.83
108,Tevaitoa,PF,2022-02-23 17:42:43,-16.7833,-151.5,80.62,73,93,12.73
109,Nome,US,2022-02-23 17:42:43,64.5011,-165.4064,31.1,86,75,18.41
110,Ucluelet,CA,2022-02-23 17:42:44,48.9329,-125.5528,37.09,69,33,1.01
111,Baruun-Urt,MN,2022-02-23 17:42:44,46.6806,113.2792,1.38,91,8,8.68
112,Mayo,US,2022-02-23 17:42:45,38.8876,-76.5119,70.74,70,0,10.36
113,Kisangani,CD,2022-02-23 17:42:45,0.5167,25.2,82.81,42,91,3.31
114,Nanortalik,GL,2022-02-23 17:43:07,60.1432,-45.2371,14.05,68,100,32.64
115,Macon,US,2022-02-23 17:40:27,39.8667,-88.9668,20.64,73,100,6.91
116,Esso,RU,2022-02-23 17:43:07,55.9333,158.7,11.39,97,100,1.79
117,Los Llanos De Aridane,ES,2022-02-23 17:43:08,28.6585,-17.9182,64.15,78,20,3.44
118,Chuy,UY,2022-02-23 17:43:08,-33.6971,-53.4616,77.9,61,83,12.75
119,Tessalit,ML,2022-02-23 17:43:09,20.1986,1.0114,88.05,11,0,9.69
120,Kyshtovka,RU,2022-02-23 17:43:09,56.555,76.6271,23.74,94,100,12.21
121,Angoche,MZ,2022-02-23 17:43:10,-16.2325,39.9086,77.63,86,51,5.88
122,Lesosibirsk,RU,2022-02-23 17:38:24,58.2358,92.4828,24.62,95,100,8.59
123,Hermanus,ZA,2022-02-23 17:43:11,-34.4187,19.2345,70.9,84,0,3.09
