City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
350,Warwick,US,42.66,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
353,Butembo,CD,65.64,broken clouds,0.15,29.2833,Hotel Butembo
354,Erzin,TR,52.32,scattered clouds,36.9559,36.2,Artemis Otel
355,Kasangulu,CD,88.68,scattered clouds,-4.5911,15.1708,Hôtel le Relais
356,Labuhan,ID,77.77,overcast clouds,-6.8844,112.2051,DoubleFAG
357,Faya,SA,62.71,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
358,Taguatinga,BR,85.15,broken clouds,-12.3857,-46.5711,
359,Rocha,UY,89.65,moderate rain,-34.4833,-54.3333,Hotel Arrarte
360,Ancud,CL,61.43,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
361,Dekar,BW,70.63,light rain,-21.5333,21.9333,
362,Along,IN,57.72,broken clouds,28.1667,94.7667,Hotel West
365,Buchanan,LR,87.76,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
366,Manresa,ES,55.22,overcast clouds,41.725,1.8266,Hotel 1948 Manresa
367,Meulaboh,ID,77.0,overcast clouds,4.1363,96.1285,Kost Pria
368,Laguna,US,48.2,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
369,Rio Gallegos,AR,53.65,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
371,Tukrah,LY,61.84,broken clouds,32.5341,20.5791,Lagrota restaurant
373,Arrifes,PT,64.24,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
374,Port Hardy,CA,47.75,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
375,Myitkyina,MM,61.84,broken clouds,25.3833,97.4,Shwe Phyu Hotel
378,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
380,Torrijos,ES,52.84,overcast clouds,39.9819,-4.2835,Hotel La Salve
381,Jacareacanga,BR,76.68,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
382,Palu,ID,75.61,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
386,Kavieng,PG,81.3,light rain,-2.5744,150.7967,Nusa Island Retreat
388,Campbell River,CA,45.28,few clouds,50.0163,-125.2446,Anchor Inn & Suites
389,Kieta,PG,79.36,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
390,Chicama,PE,72.14,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
392,Samarai,PG,82.6,overcast clouds,-10.6167,150.6667,Nuli Sapi
393,Itagiba,BR,78.78,light rain,-14.2836,-39.8428,KALIBA BAR Pousada e Restaurante
396,Klaksvik,FO,43.72,few clouds,62.2266,-6.589,Airbnb rooms
397,Avera,US,69.75,broken clouds,33.194,-82.5271,
398,Miranda,CO,78.66,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
399,Sao Joao Da Barra,BR,89.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
400,Acarau,BR,86.38,overcast clouds,-2.8856,-40.12,castelo pizzaria
401,Necochea,AR,84.04,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
402,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
403,Nouakchott,MR,78.73,clear sky,18.0858,-15.9785,HOTEL IMAN
404,Mirabad,AF,72.21,scattered clouds,30.4362,61.8383,
405,Manaus,BR,82.9,light rain,-3.1019,-60.025,Manaus Hotéis Millennium
406,Tessalit,ML,77.74,clear sky,20.1986,1.0114,
408,Gat,IL,60.4,clear sky,31.61,34.7642,OlusHome
409,Byron Bay,AU,73.87,overcast clouds,-28.65,153.6167,Backpackers Inn
410,Mayumba,GA,80.62,light rain,-3.432,10.6554,LIKWALE LODGE
411,Filadelfia,US,52.45,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
412,Amsterdam,NL,42.12,clear sky,52.374,4.8897,INK Hotel Amsterdam - MGallery
417,Kulhudhuffushi,MV,81.41,clear sky,6.6221,73.07,Haajy Guest House 1
418,Meadow Lake,US,50.07,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
419,Coihueco,CL,72.34,clear sky,-36.6167,-71.8333,Frutillares Centro Coihueco
420,Ruteng,ID,62.55,scattered clouds,-8.6136,120.4721,Hotel FX 72
422,Priego De Cordoba,ES,52.75,overcast clouds,37.4381,-4.1952,Hotel Las Rosas
424,Moron,AR,77.97,moderate rain,-34.6534,-58.6198,Hotel Morón
426,Puerto Escondido,MX,86.38,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
